id	KIDEN	Altstation	Altsommetdespistes	Kmpistesalpin	Nbvertes	Nbbleues	Nbrouges	Nbnoires	tlpheriques	tlcabines	tlsieges	tlskis	Pxalpin	Kmpistesfond	PXfond	Nblits	bassesaison	hautesaison	Prixappartementbassesaison	Prixappartementhautesaison	Neigeartificielle	SkiFrance	Liaisonsautresstations	Tranchesprixsemaine	Rapportqualite-prixforfait	Stationfamiliale-enfants	Domaineperformant	Grandski	Surf	Stationvillagenature	Grandsitenordique	Activitesnature	Manifestationsculturelles	Animation	Autoroute	sncf	aeroport	Massif	Departement
72	LePlanolet	1050	1550	4	2	3	2	1	0	0	0	6	60	12	30	1500	220	320	1200	1600	Pas neige art.	pas Ski-france	Liaison	Px <5000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Savoie (73)
73	Chamrousse	1700	2250	73	6	15	7	7	1	0	9	16	125	55	30	15000	200	280	1500	3550	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. grand fond	Pas act. nature	Man. culturelle1	Animations	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
74	LeColletdAllevard	1450	2100	35	2	6	7	3	0	0	3	10	94	3	0	3500	230	230	1200	2400	Pas neige art.	Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
75	LesSeptLaux	1350	2400	120	10	18	18	4	0	0	8	27	115	60	30	8720	200	300	1600	3500	Pas neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
76	LAlpedHuez	1860	3350	220	36	28	25	11	5	9	23	44	200	50	36	32000	300	431	2800	4100	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Nord	Isere (38)
77	VillardReculas	1500	3330	20	2	3	4	1	0	0	2	6	67	0	0	500	265	290	2390	3170	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	pas familiale	D. performant	Grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
78	ColdOrnon	1300	2000	8	1	1	1	1	0	0	0	4	48	25	26	320	130	180	1100	1400	Pas neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
79	AurisenOisans	1600	3350	45	5	6	7	1	0	0	7	8	100	8	24	4500	230	265	1130	2510	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Nord	Isere (38)
80	Vaujany	1250	3330	50	5	7	4	1	2	2	3	4	132	40	36	1500	280	315	2000	3600	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
81	LAlpeduGrandSerre	1400	2200	50	5	13	13	3	0	0	5	15	102	20	26	2000	230	250	1260	2700	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
82	LesDeuxAlpes	1650	3600	200	22	25	21	8	3	4	24	30	178	20	0	30000	250	400	2000	4000	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Nord	Isere (38)
83	StPierredeChartreuse	900	1800	25	6	6	8	3	0	1	2	16	88	70	29	3800	198	240	1200	2150	Pas neige art.	Ski-france	Pas liaison	Px <5000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
84	LeSappey	1015	1650	12	4	2	3	1	0	0	1	12	50	100	29	750	220	220	1300	2100	Pas neige art.	pas Ski-france	Pas liaison	Px <5000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
85	StHilaireduTouvet	1000	1450	5	2	3	5	0	0	0	0	5	55	0	0	800	150	150	1500	2500	Neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
86	Autrans	1050	1650	18	8	2	4	1	0	0	1	15	73	160	34	8000	250	275	1800	3100	Pas neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Man. culturelle1	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Isere (38)
87	Meaudre	1012	1600	18	5	4	3	1	0	0	2	8	73	100	34	2500	240	270	1700	2600	Pas neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Isere (38)
88	VillarddeLans	1050	2170	130	5	11	10	11	0	2	6	23	124	160	34	24000	270	320	1650	4000	Neige art.	Ski-france	Pas liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Isere (38)
89	LansenVercors	1020	1983	24	8	10	6	0	0	0	0	15	73	67	34	7000	240	280	1450	2650	Pas neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Man. culturelle1	Pas animation	Autoroute proche	sncf proche	aeroport proche	Alpes du Nord	Isere (38)
90	GresseenVercors	1205	1800	20	8	4	7	1	0	0	2	14	80	70	30	4500	220	250	1400	2500	Neige art.	pas Ski-france	Pas liaison	Px <5000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Isere (38)
91	ColdeRousset	1250	1700	30	7	6	3	2	0	0	1	10	72	12	34	1300	170	190	1200	2600	Pas neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport loin	Alpes du Nord	Dr™me (26)
92	LaGrave-LaMeije	1450	3550	20	0	2	1	1	2	0	0	2	160	10	0	2500	180	420	1600	2500	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Grand ski	Surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Hautes Alpes (05)
93	SerreChevallier	1200	2800	250	21	20	55	13	3	6	16	47	167	45	30	30000	330	400	2300	4250	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station pas village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
94	Briancon	1200	2800	25	3	5	7	1	0	2	1	2	112	100	30	5279	230	230	960	1800	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
95	Nevache	1600	1850	3	1	1	0	0	0	0	0	2	43	80	30	1000	240	320	1000	2000	Pas neige art.	pas Ski-france	Pas liaison	Px <5000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
96	PuySaintVincent	1500	2750	50	4	11	10	2	0	1	4	10	113	40	30	12000	230	265	1120	1440	Neige art.	Ski-france	Pas liaison	Px <5000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
97	Pelvoux-Vallouise	1250	2300	25	2	4	4	2	0	0	1	5	70	40	30	13000	205	265	1575	2300	Neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
98	StLegerlesMelezes	1260	2000	25	10	8	4	2	0	0	2	12	70	39	30	4200	245	245	1200	2300	Neige art.	pas Ski-france	Liaison	Px <5000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
99	Orcieres-Merlette	1850	2650	100	6	10	18	6	0	2	6	20	128	25	30	16000	265	280	1500	3000	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
100	Ancelle	1350	1807	28	3	5	5	2	0	0	1	12	70	30	30	5600	210	310	1550	2700	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
101	Chaillol1600	1600	2000	13	6	5	4	0	0	0	2	8	70	53	30	2800	240	250	1000	1200	Neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
102	Superdevoluy	1500	2510	100	16	23	17	5	0	0	4	28	125	44	30	8500	275	320	1180	3080	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Man. culturelle1	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
103	AbriesRistolas	1550	2450	30	1	3	7	1	0	0	1	4	91	40	30	2100	245	255	800	2000	Neige art.	pas Ski-france	Pas liaison	Px <5000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
104	AiguillesenQueyras	1450	2590	30	4	4	5	2	0	0	1	6	91	50	30	1000	185	230	1400	2400	Neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
105	CeillacenQueyras	1650	2500	22	4	1	6	1	0	0	1	5	91	50	30	2700	240	353	1368	2960	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
106	ArvieuxenQueyras	1650	2200	15	5	3	3	1	0	0	1	5	91	50	30	1500	236	262	1500	2600	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
107	Vars	1850	2750	170	19	50	38	11	0	1	12	44	145	40	30	17000	220	320	2000	3500	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Grand ski	Surf	Station pas village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
108	Risoul1850	1850	2750	175	19	50	38	11	0	1	12	44	145	30	0	12700	280	360	1700	2900	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
109	Molines	1750	2800	38	4	10	12	3	0	0	1	15	91	30	30	303	245	275	1400	2350	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
110	StVeran	1750	2800	38	4	10	12	3	0	0	1	14	91	60	30	1800	235	366	1250	2700	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
111	LesOrres	1650	2750	65	4	4	18	3	0	0	7	16	122	40	0	8500	250	300	1300	2600	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Pas act. nature	Man. culturelle1	Animations	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
112	Reallon	1550	2135	25	3	7	3	3	0	0	2	5	78	25	30	1000	280	317	1300	3050	Neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Hautes Alpes (05)
113	PraLoup	1500	2600	160	19	19	30	5	1	4	11	36	140	1	0	16000	325	422	1250	4245	Neige art.	Ski-france	Liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Hte Prov (04)
114	Chabanon	1550	2050	35	6	6	9	5	0	0	1	10	90	10	0	766	210	210	1000	2600	Neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Alpes Hte Prov (04)
115	Sauze	1400	2400	65	13	9	10	3	0	0	4	21	115	10	0	7000	285	358	1500	2000	Pas neige art.	Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Hte Prov (04)
116	StJeanMontclar	1350	2500	50	4	7	9	3	0	0	4	14	95	30	20	4000	230	290	1450	2900	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Alpes du Sud	Alpes Hte Prov (04)
117	LeSeignus	1425	2426	47	3	5	7	5	0	1	3	8	110	25	25	6200	250	300	2000	3000	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Hte Prov (04)
118	Auron	1600	2450	130	4	18	24	10	2	1	8	15	137	0	0	3000	290	480	1100	1400	Pas neige art.	Ski-france	Pas liaison	Px <5000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Maritimes (06)
119	BeuillesLaunes	1400	2100	90	11	13	22	12	0	0	6	20	127	40	35	2000	230	300	1000	1500	Neige art.	Ski-france	Liaison	Px <5000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Maritimes (06)
120	Isola2000	2000	2610	125	7	18	16	5	0	1	10	12	142	7	0	9500	322	582	1694	4249	Neige art.	Ski-france	Pas liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Maritimes (06)
121	Valberg	1650	2100	90	11	13	22	12	0	0	6	20	127	40	35	8500	280	280	1400	2500	Neige art.	Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf loin	aeroport loin	Alpes du Sud	Alpes Maritimes (06)
122	LesAngles	1600	2400	40	7	6	14	2	0	2	2	16	133	114	37	18000	240	280	1800	3000	Neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. performant	Pas grand ski	Surf	Station village	D. grand fond	Act. nature	Man. culturelle1	Animations	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Orient (66)
123	Formigueres	1700	2500	20	3	6	7	1	0	0	2	5	115	114	38	2000	210	210	1600	2500	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf loin	aeroport loin	Pyrenees	Pyrenees Orient (66)
124	Bolquere-Pyrenees2000	1800	2200	52	15	11	8	6	0	1	7	24	110	80	37	18000	190	220	900	2500	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	pas familiale	D. performant	Pas grand ski	Pas surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Orient (66)
125	FontRomeu	1750	2204	52	15	11	8	6	0	1	7	25	128	80	38	18000	230	250	1800	2500	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Orient (66)
126	PortePuymorens	1600	2500	40	6	5	3	3	0	0	4	9	105	28	30	40	190	210	1100	2200	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Orient (66)
127	CerdagnePuigmal2600	1800	2600	20	3	3	7	5	0	0	2	7	100	14	0	300	260	275	1000	1500	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Orient (66)
128	Guzet	1100	2100	40	10	8	10	6	0	0	3	18	100	4	0	2000	230	330	1500	2500	Neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Ariege (09)
129	Ax-Bonascre	1400	2400	70	9	4	11	2	0	1	4	14	115	0	0	9105	198	229	1100	2950	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Ariege (09)
130	Mijane-Donezan	1530	2060	8	4	2	1	1	0	0	0	5	75	36	30	800	210	230	1300	1500	Pas neige art.	pas Ski-france	Pas liaison	Px <5000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf loin	aeroport loin	Pyrenees	Ariege (09)
131	Montferrier	1400	2000	19	5	4	9	2	0	0	0	13	89	0	0	1635	205	242	1275	3200	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Ariege (09)
132	Luchon-Superbagneres	1800	2260	27	4	8	5	6	0	1	5	9	103	27	0	7000	208	260	1000	1500	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Haute Garonne (31)
133	Peyragudes	1600	2400	37	4	13	13	2	0	0	6	10	108	0	0	2200	260	290	2050	3690	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Hautes Pyrenees (65)
134	PiauEngaly	1850	2500	50	7	14	9	7	0	0	9	11	111	0	0	4000	365	415	1600	4290	Neige art.	Ski-france	Pas liaison	Px 7000-9000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Pas act. nature	Man. culturelle1	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Hautes Pyrenees (65)
135	Bareges	1250	2350	65	10	11	10	1	0	1	4	18	110	17	30	4200	250	320	1300	2250	Pas neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Hautes Pyrenees (65)
136	Gavarnie-Gedre	1850	2400	40	7	5	5	2	0	0	3	8	75	8	0	2000	180	360	800	3500	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Hautes Pyrenees (65)
137	LaMongie	1800	2500	60	13	10	9	2	1	1	6	25	110	0	0	12000	230	360	2000	4000	Neige art.	pas Ski-france	Liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport proche	Pyrenees	Hautes Pyrenees (65)
138	Luz-Ardiden	1700	2450	50	4	10	15	4	0	0	6	13	94	5	0	5700	200	220	1050	1600	Neige art.	Ski-france	Pas liaison	Px <5000	Bon rapport q-p	pas familiale	D. performant	Pas grand ski	Surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport proche	Pyrenees	Hautes Pyrenees (65)
139	Cauterets	1850	2500	40	7	8	8	2	1	2	6	12	115	37	30	20000	215	245	2000	3400	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. performant	Pas grand ski	Surf	Station village	D. grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport proche	Pyrenees	Hautes Pyrenees (65)
140	GourettelesEauxBonnes	1400	2400	31	8	5	5	1	0	2	5	18	110	0	0	8000	280	330	1400	3600	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	pas familiale	D. performant	Pas grand ski	Pas surf	Station village	D. pas grand fond	Act. nature	Pas man. culturelles	Animations	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Atl. (64)
141	ArettePierreStMartin	1650	2200	23	6	8	6	1	0	0	5	11	98	5	20	3000	320	320	1480	2800	Pas neige art.	pas Ski-france	Pas liaison	Px 5000-7000	Mauvais rapport q-p	pas familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. pas grand fond	Pas act. nature	Pas man. culturelles	Pas animation	Autoroute loin	sncf proche	aeroport loin	Pyrenees	Pyrenees Atl. (64)
142	SuperLioran	1250	1856	60	11	9	14	6	1	0	6	17	103	25	30	6700	220	260	1600	2900	Neige art.	Ski-france	Pas liaison	Px 5000-7000	Bon rapport q-p	familiale	D. pas performant	Pas grand ski	Pas surf	Station pas village	D. grand fond	Act. nature	Pas man. culturelles	Pas animation	Autoroute proche	sncf proche	aeroport proche	Massif Central	Cantal (15)
